CUSTOMER_ID,CUSTOMER_SEGMENT,JOIN_DATE,LIFETIME_VALUE,PREVIOUS_PURCHASES,AGE_RANGE,GENDER,PREFERRED_CATEGORY
CUST-00001,Mainstream,2022-11-28,1447.83,14,25-34,Non-binary,Electronics
CUST-00002,Mainstream,2022-08-24,1228.52,5,55-64,Male,Electronics
CUST-00003,Mainstream,2023-03-09,370.81,16,65+,Prefer not to say,Electronics
CUST-00004,Premium,2022-09-04,4465.26,12,65+,Prefer not to say,Beauty Products
CUST-00005,Luxury,2023-06-02,5385.29,18,25-34,Female,Toys
CUST-00006,Premium,2023-01-15,3394.30,19,65+,Female,Clothing
CUST-00007,Budget,2023-05-28,137.39,1,18-24,Non-binary,Kitchen Appliances
CUST-00008,Budget,2023-10-19,21.88,17,45-54,Male,Beauty Products
CUST-00009,Budget,2022-06-24,275.22,6,25-34,Female,Electronics
CUST-00010,Budget,2022-07-17,273.14,17,25-34,Prefer not to say,Kitchen Appliances
CUST-00011,Budget,2023-11-15,28.55,3,65+,Female,Beauty Products
CUST-00012,Mainstream,2022-04-21,1021.67,8,45-54,Prefer not to say,Clothing
CUST-00013,Luxury,2022-07-04,14202.56,11,45-54,Non-binary,Clothing
CUST-00014,Budget,2023-07-07,118.19,7,55-64,Male,Electronics
CUST-00015,Mainstream,2023-03-03,1787.51,9,45-54,Female,Electronics
CUST-00016,Mainstream,2022-06-18,815.67,5,35-44,Non-binary,Kitchen Appliances
CUST-00017,Premium,2022-03-10,3059.74,11,25-34,Male,Electronics
CUST-00018,Premium,2023-02-18,4366.38,19,25-34,Female,Beauty Products
CUST-00019,Mainstream,2022-03-22,462.33,1,35-44,Female,Clothing
CUST-00020,Premium,2022-08-26,5371.66,5,65+,Non-binary,Electronics
CUST-00021,Mainstream,2023-02-04,769.54,8,55-64,Prefer not to say,Kitchen Appliances
CUST-00022,Luxury,2022-09-14,9548.27,16,45-54,Female,Beauty Products
CUST-00023,Mainstream,2023-07-31,323.61,19,18-24,Non-binary,Kitchen Appliances
CUST-00024,Mainstream,2023-07-29,434.37,17,45-54,Male,Toys
CUST-00025,Budget,2023-09-05,103.01,6,35-44,Male,Toys
CUST-00026,Budget,2022-05-04,261.67,3,55-64,Non-binary,Clothing
CUST-00027,Mainstream,2022-01-12,953.07,20,25-34,Female,Toys
CUST-00028,Mainstream,2023-07-07,518.22,11,35-44,Prefer not to say,Toys
CUST-00029,Premium,2022-01-04,4355.34,16,18-24,Non-binary,Kitchen Appliances
CUST-00030,Budget,2023-10-21,85.61,9,25-34,Female,Clothing
CUST-00031,Premium,2023-03-03,2142.42,16,35-44,Female,Electronics
CUST-00032,Luxury,2022-04-25,11486.32,14,55-64,Male,Electronics
CUST-00033,Mainstream,2022-06-15,695.20,8,55-64,Male,Electronics
CUST-00034,Mainstream,2023-10-26,261.19,7,55-64,Female,Kitchen Appliances
CUST-00035,Premium,2023-10-05,1051.37,10,55-64,Female,Electronics
CUST-00036,Mainstream,2022-11-23,1783.45,2,18-24,Non-binary,Beauty Products
CUST-00037,Mainstream,2023-11-02,255.17,5,45-54,Male,Kitchen Appliances
CUST-00038,Mainstream,2023-11-11,102.48,5,25-34,Male,Toys
CUST-00039,Premium,2022-12-17,3039.41,14,45-54,Prefer not to say,Toys
CUST-00040,Mainstream,2022-02-20,1346.75,14,35-44,Male,Toys
CUST-00041,Budget,2022-02-07,202.67,17,45-54,Prefer not to say,Kitchen Appliances
CUST-00042,Budget,2023-05-03,128.22,16,45-54,Prefer not to say,Electronics
CUST-00043,Mainstream,2022-10-30,2128.38,7,18-24,Prefer not to say,Beauty Products
CUST-00044,Mainstream,2023-11-13,140.07,16,55-64,Male,Electronics
CUST-00045,Premium,2023-07-02,2373.35,19,25-34,Non-binary,Kitchen Appliances
CUST-00046,Premium,2023-06-11,2039.18,15,45-54,Female,Beauty Products
CUST-00047,Mainstream,2022-09-08,1145.76,19,18-24,Female,Beauty Products
CUST-00048,Mainstream,2022-02-26,1140.48,16,25-34,Female,Electronics
CUST-00049,Mainstream,2022-02-26,1228.06,16,25-34,Non-binary,Clothing
CUST-00050,Budget,2023-04-24,96.15,9,25-34,Non-binary,Clothing
CUST-00051,Mainstream,2023-10-01,362.89,2,35-44,Male,Beauty Products
CUST-00052,Mainstream,2023-06-05,719.67,17,45-54,Prefer not to say,Kitchen Appliances
CUST-00053,Budget,2022-11-05,303.76,16,55-64,Female,Toys
CUST-00054,Premium,2022-01-06,2085.23,2,65+,Male,Kitchen Appliances
CUST-00055,Mainstream,2022-09-16,1403.33,18,25-34,Non-binary,Kitchen Appliances
CUST-00056,Mainstream,2022-08-11,1398.43,2,45-54,Female,Clothing
CUST-00057,Budget,2023-05-20,135.61,13,65+,Non-binary,Toys
CUST-00058,Budget,2022-08-09,391.90,5,45-54,Prefer not to say,Electronics
CUST-00059,Premium,2022-08-22,2093.48,1,55-64,Prefer not to say,Kitchen Appliances
CUST-00060,Budget,2022-04-24,376.14,6,25-34,Female,Clothing
CUST-00061,Mainstream,2023-12-16,25.57,16,35-44,Prefer not to say,Clothing
CUST-00062,Mainstream,2022-12-28,1770.82,17,18-24,Female,Toys
CUST-00063,Mainstream,2023-02-14,1213.91,11,65+,Prefer not to say,Electronics
CUST-00064,Mainstream,2022-12-13,1043.28,18,18-24,Prefer not to say,Beauty Products
CUST-00065,Luxury,2022-06-27,11132.50,18,18-24,Non-binary,Kitchen Appliances
CUST-00066,Premium,2022-05-15,3197.32,6,35-44,Prefer not to say,Electronics
